Date,WELL-MILLED,REGULAR-MILLED,SPECIAL
2018-01-01,47.84,47.74,47.77
2018-02-01,48.85,46.64,47.17
2018-03-01,48.32,45.95,48.38
2018-04-01,48.45,45.95,47.77
2018-05-01,48.45,46.44,47.77
2018-06-01,48.98,47.58,47.05
2018-07-01,49.91,48.45,48.25
2018-08-01,50.56,50.03,51.76
2018-09-01,53.33,54.13,51.76
2018-10-01,53.33,56.09,51.76
2018-11-01,53.59,56.42,51.76
2018-12-01,48.06,48.57,52.24
2019-01-01,47.13,46.86,49.22
2019-02-01,47.13,46.65,47.77
2019-03-01,46.87,47.08,49.83
2019-04-01,46.48,46.22,49.59
2019-05-01,46.48,46.22,50.31
2019-06-01,45.82,45.65,50.67
2019-07-01,45.29,45.54,51.15
2019-08-01,44.76,44.54,52.24
2019-09-01,44.37,44.35,50.67
2019-10-01,44.23,44.35,49.59
2019-11-01,43.97,43.35,49.41
2019-12-01,43.58,43.24,49.41
2020-01-01,45.51,45.32,49.17
2020-02-01,42.92,42.91,49.98
2020-03-01,42.66,42.05,48.54
2020-04-01,43.06,42.34,47.94
2020-05-01,45.11,43.48,48.02
2020-06-01,45.55,44.27,46.98
2020-07-01,45.42,44.27,48.15
2020-08-01,45.02,44.56,47.78
2020-09-01,45.81,44.56,47.78
2020-10-01,44.49,44.34,48.39
2020-11-01,44.49,44.05,46.74
2020-12-01,44.89,44.48,48.15
2021-01-01,43.84,43.62,47.43
2021-02-01,44.44,43.74,47.34
2021-03-01,43.43,40.31,47.76
2021-04-01,42.92,41.25,47.71
2021-05-01,43.18,41.84,46.73
2021-06-01,43.67,41.18,46.99
2021-07-01,43.81,41.72,46.85
2021-08-01,43.75,41.16,46.92
2021-09-01,43.75,41.03,46.86
2021-10-01,43.33,37.58,47.12
2021-11-01,42.54,36.92,46.81
2021-12-01,51.44,38.27,46.52
2022-01-01,52.26,40.48,53.63
2022-02-01,52.34,40.68,56.73
2022-03-01,51.76,40.83,57.01
2022-04-01,50.89,43.49,59.39
2022-05-01,50.31,43.77,59.68
2022-06-01,49.54,45.31,58.44
2022-07-01,50.04,41.57,58.37
2022-08-01,50.11,42.24,59.52
2022-09-01,50.01,43.29,60.17
2022-10-01,51.38,42.78,57.52
2022-11-01,49.11,42.62,58.52
2022-12-01,50.08,41.86,58.65
2023-01-01,49.75,42.69,55.01
2023-02-01,50.44,42.72,54.93
2023-03-01,49.76,42.74,54.88
2023-04-01,49.66,41.86,57.94
2023-05-01,49.66,41.61,54.98
2023-06-01,51.37,41.98,55.28
2023-07-01,51.37,42.34,55.14
2023-08-01,51.65,42.84,54.85
2023-09-01,51.55,42.72,54.72
2023-10-01,50.28,42.82,54.92
2023-11-01,52.01,42.34,56.72
2023-12-01,58.35,44.91,59.35
2024-01-01,55.94,49.18,65.64
2024-02-01,56.56,49.11,65.32
