Date,WELL-MILLED,REGULAR-MILLED,SPECIAL
01/01/2018,47.84,47.74,47.77
01/02/2018,48.85,46.64,47.17
01/03/2018,48.32,45.95,48.38
01/04/2018,48.45,45.95,47.77
01/05/2018,48.45,46.44,47.77
01/06/2018,48.98,47.58,47.05
01/07/2018,49.91,48.45,48.25
01/08/2018,50.56,50.03,51.76
01/09/2018,53.33,54.13,51.76
01/10/2018,53.33,56.09,51.76
01/11/2018,53.59,56.42,51.76
01/12/2018,48.06,48.57,52.24
01/01/2019,47.13,46.86,49.22
01/02/2019,47.13,46.65,47.77
01/03/2019,46.87,47.08,49.83
01/04/2019,46.48,46.22,49.59
01/05/2019,46.48,46.22,50.31
01/06/2019,45.82,45.65,50.67
01/07/2019,45.29,45.54,51.15
01/08/2019,44.76,44.54,52.24
01/09/2019,44.37,44.35,50.67
01/10/2019,44.23,44.35,49.59
01/11/2019,43.97,43.35,49.41
01/12/2019,43.58,43.24,49.41
01/01/2020,45.51,45.32,49.17
01/02/2020,42.92,42.91,49.98
01/03/2020,42.66,42.05,48.54
01/04/2020,43.06,42.34,47.94
01/05/2020,45.11,43.48,48.02
01/06/2020,45.55,44.27,46.98
01/07/2020,45.42,44.27,48.15
01/08/2020,45.02,44.56,47.78
01/09/2020,45.81,44.56,47.78
01/10/2020,44.49,44.34,48.39
01/11/2020,44.49,44.05,46.74
01/12/2020,44.89,44.48,48.15
01/01/2021,43.84,43.62,47.43
01/02/2021,44.44,43.74,47.34
01/03/2021,43.43,40.31,47.76
01/04/2021,42.92,41.25,47.71
01/05/2021,43.18,41.84,46.73
01/06/2021,43.67,41.18,46.99
01/07/2021,43.81,41.72,46.85
01/08/2021,43.75,41.16,46.92
01/09/2021,43.75,41.03,46.86
01/10/2021,43.33,37.58,47.12
01/11/2021,42.54,36.92,46.81
01/12/2021,51.44,38.27,46.52
01/01/2022,52.26,40.48,53.63
01/02/2022,52.34,40.68,56.73
01/03/2022,51.76,40.83,57.01
01/04/2022,50.89,43.49,59.39
01/05/2022,50.31,43.77,59.68
01/06/2022,49.54,45.31,58.44
01/07/2022,50.04,41.57,58.37
01/08/2022,50.11,42.24,59.52
01/09/2022,50.01,43.29,60.17
01/10/2022,51.38,42.78,57.52
01/11/2022,49.11,42.62,58.52
01/12/2022,50.08,41.86,58.65
01/01/2023,49.75,42.69,55.01
01/02/2023,50.44,42.72,54.93
01/03/2023,49.76,42.74,54.88
01/04/2023,49.66,41.86,57.94
01/05/2023,49.66,41.61,54.98
01/06/2023,51.37,41.98,55.28
01/07/2023,51.37,42.34,55.14
01/08/2023,51.65,42.84,54.85
01/09/2023,51.55,42.72,54.72
01/10/2023,50.28,42.82,54.92
01/11/2023,52.01,42.34,56.72
01/12/2023,58.35,44.91,59.35
01/01/2024,55.94,49.18,65.64
01/02/2024,56.56,49.11,65.32
